souid,lat_dec,lon_dec,time,value
1300,61.733299,6.506912,2017-06-07T1210,0
1306,59.264087,11.14445,2017-06-07T1210,0.1
1307,59.492123,10.849078,2017-06-07T1210,0.4
1322,61.223794,11.860722,2017-06-07T1210,0.2
1323,63.477013,10.918218,2017-06-07T1210,0
1325,61.24707,7.136789,2017-06-07T1210,0
1329,58.518104,8.910377,2017-06-07T1210,0.1
1330,60.062938,10.856867,2017-06-07T1210,0.3
1339,59.141458,8.647632,2017-06-07T1210,0.91
1342,59.883538,10.812512,2017-06-07T1210,0.1
1350,62.612411,6.434488,2017-06-07T1210,0
1358,58.784198,5.618909,2017-06-07T1210,0
1359,58.045875,7.25628,2017-06-07T1210,0
1366,59.916465,10.579542,2017-06-07T1210,0.1
1373,59.173223,10.211358,2017-06-07T1210,0.3
1377,61.308733,12.254982,2017-06-07T1210,0
1387,58.607081,7.418134,2017-06-07T1210,0.1
1389,59.492763,10.653867,2017-06-07T1210,0
1395,58.596161,9.072552,2017-06-07T1210,0
1396,62.785889,7.529993,2017-06-07T1210,0
1398,67.280356,14.404916,2017-06-07T1210,0
1404,59.913059,10.764713,2017-06-07T1210,0.1
1405,58.963882,5.889534,2017-06-07T1210,0
1438,59.94187,10.766689,2017-06-07T1210,0.1
1450,69.627692,18.034794,2017-06-07T1210,0
1456,59.402559,5.29972,2017-06-07T1210,0
1461,67.263873,15.366411,2017-06-07T1210,0
1482,61.098572,10.510792,2017-06-07T1210,0
1495,59.302717,10.502018,2017-06-07T1210,0.2
1502,59.945249,10.805528,2017-06-07T1210,0.2
1508,60.832615,10.098879,2017-06-07T1210,0.1
1511,59.38981,10.68894,2017-06-07T1210,0.1
1518,59.922281,11.067372,2017-06-07T1210,0
1524,59.674844,10.249767,2017-06-07T1210,0.3
1526,68.377233,17.033658,2017-06-07T1210,0
1527,59.128181,9.64427,2017-06-07T1210,0
1542,59.21768,9.580859,2017-06-07T1210,0.2
1543,63.352895,10.379202,2017-06-07T1210,0
1546,63.719744,11.299396,2017-06-07T1210,0
1550,58.964309,5.742234,2017-06-07T1210,0
